Replicate Name,Protein Name,Precursor Ion Name,Precursor Mz,Product Mz,Retention Time,Area,Background,Start Time,End Time,Height
180212_Smp_L1C32DCMless10m_C,Co-enzyme A,Acetyl CoA,808.149,408.0672,5.44,147416,656,5.39,5.51,66630
180212_Smp_L1C32DCMless20m_A,Co-enzyme A,Acetyl CoA,808.149,408.0672,5.43,140809,840,5.39,5.53,54930
180212_Smp_L1C32DCMless20m_B,Co-enzyme A,Acetyl CoA,808.149,408.0672,5.44,168588,1681,5.38,5.51,80666
180212_Smp_L1C32DCMless20m_C,Co-enzyme A,Acetyl CoA,808.149,408.0672,5.43,191174,61,5.39,5.56,92298
180212_Smp_L1C33DCM_A,Co-enzyme A,Acetyl CoA,808.149,408.0672,5.43,137647,2067,5.39,5.52,56262
180212_Smp_L1C33DCM_B,Co-enzyme A,Acetyl CoA,808.149,408.0672,5.43,178585,54,5.38,5.53,79130
180212_Smp_L1C33DCM_C,Co-enzyme A,Acetyl CoA,808.149,408.0672,5.43,142338,279,5.39,5.54,54431
180212_Smp_L1C33DCMplus10m_A,Co-enzyme A,Acetyl CoA,808.149,408.0672,5.45,114818,0,5.4,5.58,34048
180212_Smp_L1C33DCMplus10m_B,Co-enzyme A,Acetyl CoA,808.149,408.0672,5.43,122961,61,5.39,5.56,50746
180212_Smp_L1C33DCMplus10m_C,Co-enzyme A,Acetyl CoA,808.149,408.0672,5.43,143757,200,5.39,5.52,57667
180212_Smp_L1C33DCMplus20m_A,Co-enzyme A,Acetyl CoA,808.149,408.0672,5.43,88956,62,5.39,5.53,36397
180212_Smp_L1C33DCMplus20m_B,Co-enzyme A,Acetyl CoA,808.149,408.0672,5.43,85863,117,5.39,5.51,38752
180212_Smp_L1C33DCMplus20m_C,Co-enzyme A,Acetyl CoA,808.149,408.0672,5.44,96383,11,5.38,5.54,34518
180212_Smp_L2C1DCMless10m_A,Co-enzyme A,Acetyl CoA,808.149,408.0672,5.43,75989,61,5.38,5.55,29480
180212_Smp_L2C1DCMless10m_B,Co-enzyme A,Acetyl CoA,808.149,408.0672,5.43,90994,1475,5.39,5.53,37019
180212_Smp_L2C1DCMless10m_C,Co-enzyme A,Acetyl CoA,808.149,408.0672,5.43,108136,184,5.39,5.56,45017
180212_Smp_L2C1DCMless20m_A,Co-enzyme A,Acetyl CoA,808.149,408.0672,5.43,87823,14,5.39,5.53,34378
180212_Smp_L2C1DCMless20m_B,Co-enzyme A,Acetyl CoA,808.149,408.0672,5.43,105304,37,5.38,5.54,45510
180212_Smp_L2C1DCMless20m_C,Co-enzyme A,Acetyl CoA,808.149,408.0672,5.43,108312,0,5.39,5.53,49296
180212_Smp_L2C2DCM_A,Co-enzyme A,Acetyl CoA,808.149,408.0672,5.43,85842,53,5.38,5.5,37355
180212_Smp_L2C2DCM_B,Co-enzyme A,Acetyl CoA,808.149,408.0672,5.44,114037,194,5.39,5.53,50873
180212_Smp_L2C2DCM_C,Co-enzyme A,Acetyl CoA,808.149,408.0672,5.44,84450,74,5.38,5.49,35684
180212_Smp_L2C2DCMplus10m_A,Co-enzyme A,Acetyl CoA,808.149,408.0672,5.43,70279,0,5.39,5.49,28028
180212_Smp_L2C2DCMplus10m_B,Co-enzyme A,Acetyl CoA,808.149,408.0672,5.43,83852,70,5.39,5.5,37130
180212_Smp_L2C2DCMplus10m_C,Co-enzyme A,Acetyl CoA,808.149,408.0672,5.44,71909,55,5.39,5.53,33513
180212_Smp_L2C2DCMplus20m_A,Co-enzyme A,Acetyl CoA,808.149,408.0672,5.42,49903,58,5.39,5.52,19315
180212_Smp_L2C2DCMplus20m_B,Co-enzyme A,Acetyl CoA,808.149,408.0672,5.44,55222,94,5.39,5.51,20923
180212_Smp_L2C2DCMplus20m_C,Co-enzyme A,Acetyl CoA,808.149,408.0672,5.44,50365,0,5.4,5.56,20772
180212_Std_4uMhilicMix4_1,Co-enzyme A,Crotonyl CoA,834.277,408.067,8.22,5746957,83985,8.18,8.34,1871139
180212_Std_4uMhilicMix4_2,Co-enzyme A,Crotonyl CoA,834.277,408.067,8.24,5738620,46570,8.2,8.38,1473491
180212_Blk_MQBlk_1,Co-enzyme A,Crotonyl CoA,834.277,408.067,8.25,305,6,8.21,8.28,256
180212_Blk_MQBlk_2,Co-enzyme A,Crotonyl CoA,834.277,408.067,8.23,15,0,8.22,8.26,15
180212_Blk_MQBlk_3,Co-enzyme A,Crotonyl CoA,834.277,408.067,8.24,13,0,8.22,8.25,13
180212_Blk_SWBlk_1,Co-enzyme A,Crotonyl CoA,834.277,408.067,8.21,2,11,8.21,8.24,7
180212_Blk_SWBlk_2,Co-enzyme A,Crotonyl CoA,834.277,408.067,8.23,13,12,8.18,8.24,12
180212_Blk_SWBlk_3,Co-enzyme A,Crotonyl CoA,834.277,408.067,8.22,27,0,8.2,8.26,30
180212_Poo_TruePoo_Full1,Co-enzyme A,Crotonyl CoA,834.277,408.067,8.25,4984,120,8.17,8.36,1973
180212_Poo_TruePoo_Full2,Co-enzyme A,Crotonyl CoA,834.277,408.067,8.26,1968,103,8.18,8.37,923
180212_Poo_TruePoo_Full3,Co-enzyme A,Crotonyl CoA,834.277,408.067,8.25,4612,24,8.19,8.37,1769
180212_Poo_TruePoo_Half1,Co-enzyme A,Crotonyl CoA,834.277,408.067,8.27,2880,0,8.17,8.36,1206
180212_Poo_TruePoo_Half2,Co-enzyme A,Crotonyl CoA,834.277,408.067,8.24,2189,20,8.19,8.37,1250
180212_Poo_TruePoo_Half3,Co-enzyme A,Crotonyl CoA,834.277,408.067,8.25,2837,0,8.21,8.36,1659
180212_Smp_L1C32DCMless10m_A,Co-enzyme A,Crotonyl CoA,834.277,408.067,8.23,3,5,8.21,8.24,7
180212_Smp_L1C32DCMless10m_B,Co-enzyme A,Crotonyl CoA,834.277,408.067,8.23,324,19,8.2,8.26,279
180212_Smp_L1C32DCMless10m_C,Co-enzyme A,Crotonyl CoA,834.277,408.067,8.23,9,0,8.21,8.24,11
180212_Smp_L1C32DCMless20m_A,Co-enzyme A,Crotonyl CoA,834.277,408.067,8.23,213,3,8.21,8.26,179
180212_Smp_L1C32DCMless20m_B,Co-enzyme A,Crotonyl CoA,834.277,408.067,8.24,18,8,8.21,8.25,18
180212_Smp_L1C32DCMless20m_C,Co-enzyme A,Crotonyl CoA,834.277,408.067,8.24,191,0,8.22,8.25,238
180212_Smp_L1C33DCM_A,Co-enzyme A,Crotonyl CoA,834.277,408.067,8.22,30,2,8.21,8.24,55
180212_Smp_L1C33DCM_B,Co-enzyme A,Crotonyl CoA,834.277,408.067,8.23,25,8,8.21,8.25,23
180212_Smp_L1C33DCM_C,Co-enzyme A,Crotonyl CoA,834.277,408.067,8.24,116,0,8.22,8.27,155
180212_Smp_L1C33DCMplus10m_A,Co-enzyme A,Crotonyl CoA,834.277,408.067,8.24,10,0,8.22,8.24,18
180212_Smp_L1C33DCMplus10m_B,Co-enzyme A,Crotonyl CoA,834.277,408.067,8.22,3,3,8.22,8.26,3
180212_Smp_L1C33DCMplus10m_C,Co-enzyme A,Crotonyl CoA,834.277,408.067,8.24,40,20,8.21,8.25,87
180212_Smp_L1C33DCMplus20m_A,Co-enzyme A,Crotonyl CoA,834.277,408.067,8.21,76,21,8.2,8.28,136
180212_Smp_L1C33DCMplus20m_B,Co-enzyme A,Crotonyl CoA,834.277,408.067,8.22,5,0,8.21,8.24,6
180212_Smp_L1C33DCMplus20m_C,Co-enzyme A,Crotonyl CoA,834.277,408.067,8.23,214,29,8.22,8.27,438
